radical1,radical2,category1,category2,same_category,observed,expected,enrichment,chi_square,significant
扌,示,action,perception,False,7,1.9128514871586642,3.6594581685992518,13.529058667353423,True
丶,巾,structure,cloth,False,28,14.602679930971474,1.9174562568212943,12.291455121967717,True
一,木,structure,structure,True,45,26.905897878387982,1.6724957555178268,12.168206876690187,True
宀,艸,constraint,other,False,10,3.578316922139884,2.7946099290780144,11.524416212920029,True
一,足,structure,motion,False,25,12.922545934422901,1.9346032992930087,11.287628416748117,True
心,見,internal,perception,False,5,1.3375291848543296,3.7382361870066787,10.028710119887721,True
八,心,structure,internal,False,13,5.774033093086996,2.251459212376934,9.043002853987138,True
丶,彳,structure,other,False,31,18.592071870876055,1.6673773754371404,8.280770509427406,True
八,食,structure,other,False,10,4.210232463709268,2.375165762507535,7.961890088784616,True
方,食,direction,other,False,5,1.5988224545731398,3.1273015873015875,7.235330391081076,True
子,牛,agent,entity,False,5,1.6039995939498528,3.1172077716600217,7.1900384522499605,True
目,示,perception,perception,True,5,1.6383615876560755,3.0518293627435793,6.8975084013739725,True
人,口,agent,boundary,False,164,133.93513348898588,1.2244733381587773,6.748760947025373,True
寸,彳,action,other,False,6,2.1814029032585522,2.75052352366327,6.684544045238171,True
一,大,structure,magnitude,False,150,121.89625418739215,1.2305546302465022,6.479448724367492,True
口,示,boundary,perception,False,25,15.191300375596386,1.6456787359797393,6.33326877508987,True
宀,目,constraint,perception,False,6,2.2781951070957263,2.6336638075080763,6.080177952144184,True
口,門,boundary,boundary,True,16,8.719267079484316,1.8350166194182331,6.079532990176045,True
牛,艸,entity,other,False,8,3.4869556390214194,2.2942649199417757,5.8410749985556265,True
足,辶,motion,motion,True,10,4.754136635874531,2.1034313411483354,5.788450047357885,True
口,彳,boundary,other,False,11,22.202669779717795,0.49543591420021627,5.652464835920173,True
老,臼,entity,other,False,6,2.372855547660136,2.5285989304812837,5.544449130547838,True
人,忄,agent,internal,False,10,20.646127296721144,0.48435233670133004,5.4896506637344435,True
亻,口,agent,boundary,False,57,42.068216424728455,1.3549421592899853,5.29991950425762,True
丶,广,structure,constraint,False,7,3.0108618414374173,2.3249157113958194,5.285271821208153,True
亻,訁,agent,communication,False,11,5.5821743985382195,1.9705582833242408,5.258315515104868,True
矢,門,perception,boundary,False,5,1.920109633539742,2.604017975151996,4.940199509299722,True
丶,厂,structure,constraint,False,9,4.365749670084256,2.061501616015997,4.919264214228231,True
牛,老,entity,entity,True,12,6.392752004872602,1.8771258435887257,4.918262127937311,True
亻,忄,agent,internal,False,12,6.484823875748655,1.8504743120127733,4.690515619901936,True
目,而,perception,connection,False,12,6.504974114303116,1.8447421602515586,4.64188003732182,True
扌,牛,action,entity,False,6,2.591970358339255,2.3148412869367694,4.4810180799598704,True
一,口,structure,boundary,False,198,170.78976753629073,1.1593200392285061,4.335135303534932,True
丶,子,structure,agent,False,17,10.387473352959091,1.636586629139914,4.209446048337631,True
月,目,temporal,perception,False,9,4.624251345041112,1.9462609898251508,4.140600253467469,True
月,火,temporal,transformation,False,47,35.17820525834941,1.336054515994523,3.972767510091986,True
人,囗,agent,boundary,False,27,18.45294893919399,1.4631807679612718,3.95882967414833,True
忄,火,internal,transformation,False,29,20.13343822962136,1.4403898464462814,3.904743776563519,True
丶,寸,structure,action,False,6,13.097249010252765,0.45811147022577725,3.8459178316074287,True
扌,艸,action,other,False,7,3.395594355902954,2.0614947683109115,3.826057734079336,False
心,艸,internal,other,False,5,2.192670794843163,2.2803240740740742,3.594291165213534,False
亻,矢,agent,perception,False,15,9.264034108212364,1.619165023011177,3.5515094533800173,False
彳,戶,other,boundary,False,5,2.2190132981423205,2.25325373407443,3.48528196851447,False
丶,大,structure,magnitude,False,77,95.14323418942239,0.809306102068165,3.4598040486710917,False
彳,牛,other,entity,False,6,2.8709268094609683,2.0899174371939253,3.4104314326245206,False
一,氵,structure,fluid,False,28,39.53913308293574,0.7081591784338896,3.3675900790846507,False
而,食,connection,other,False,7,3.5760328900619225,1.9574764033780427,3.278367713708222,False
方,訁,direction,communication,False,7,3.578316922139884,1.9562269503546101,3.2719055746221546,False
女,方,other,direction,False,5,2.284032077961628,2.1891111111111115,3.2295876335171845,False
一,巾,structure,cloth,False,11,18.708760531925694,0.5879598480737926,3.176318860737414,False
彳,辶,other,motion,False,14,8.763222007917978,1.597585909309424,3.1294247382499147,False
人,矢,agent,perception,False,39,29.494467566744493,1.322281879194631,3.063460855335097,False
戶,氵,boundary,fluid,False,7,3.683382397726119,1.9004271737632632,2.986372614068961,False
口,足,boundary,motion,False,18,12.04517307887524,1.4943745417463783,2.94391483031005,False
亻,月,agent,temporal,False,17,11.330626332352045,1.5003583651382395,2.836718539702115,False
乙,而,connection,connection,True,6,3.065171048624505,1.9574764033780427,2.8100294688927616,False
寸,而,action,connection,False,10,5.925997360674043,1.6874796580845195,2.800793941519239,False
大,辶,magnitude,motion,False,56,44.844990356309005,1.248745948099455,2.774763449878479,False
月,糸,temporal,thread,False,5,2.421074002639326,2.0651991614255762,2.747069809767208,False
口,心,boundary,internal,False,7,12.94406659222414,0.540788317962231,2.729584817959757,False
口,衣,boundary,cloth,False,5,2.427012486042026,2.0601459731894516,2.7277423519892836,False
亻,大,agent,magnitude,False,21,30.02497208405238,0.6994178026614736,2.7127459399433245,False
巾,彳,cloth,other,False,5,2.4321388691503403,2.0558036645936806,2.7111571921187436,False
人,老,agent,entity,False,31,41.594761953101205,0.7452861500915192,2.6986326059383026,False
口,而,boundary,connection,False,73,60.3157547457111,1.2102973809706137,2.6674635565658917,False
人,火,agent,transformation,False,127,109.88579839610192,1.1557453452010882,2.6654572366401243,False
目,辶,perception,motion,False,11,6.776418637701756,1.6232763334307052,2.632458305439512,False
氵,老,fluid,entity,False,6,11.445538524007715,0.5242217294900222,2.590868900947848,False
囗,大,boundary,magnitude,False,22,15.654045274591413,1.4053875285328905,2.5725709023150056,False
一,广,structure,constraint,False,7,3.8574763983351943,1.8146578947368421,2.5600816614930895,False
火,辶,transformation,motion,False,63,51.55045173078875,1.2221037427373882,2.5429875232442023,False
丶,人,structure,agent,False,129,112.1546035935438,1.1501979933655253,2.5301447376965513,False
八,大,structure,magnitude,False,62,50.683179372652525,1.2232855311648774,2.526882304874922,False
忄,牛,internal,entity,False,6,3.1731296315094912,1.8908776812706944,2.5183957191336583,False
大,訁,magnitude,communication,False,9,15.076641965282713,0.5969499057366011,2.449191116912123,False
丶,囗,structure,boundary,False,25,18.36625723276825,1.3611918684987232,2.3960539452363268,False
車,辶,other,motion,False,6,3.22855547660136,1.8584162618497382,2.3790530476997898,False
八,口,structure,boundary,False,84,71.01258755456298,1.1828888777705509,2.3752532872892624,False
大,見,magnitude,perception,False,17,11.740533955943558,1.4479750293975238,2.356109455701463,False
巾,月,cloth,temporal,False,8,4.6968835651202925,1.7032570403509908,2.3229398879282197,False
亻,氵,agent,fluid,False,5,9.739112780428384,0.5133937877840317,2.306081719348542,False
一,寸,structure,action,False,23,16.780022332758097,1.3706775559588626,2.305606119811936,False
木,老,structure,entity,False,12,7.788549385849152,1.5407233626588466,2.277229737755311,False
大,目,magnitude,perception,False,7,12.253781341995737,0.5712522367287428,2.2525469990969365,False
一,艸,structure,other,False,37,28.931072987513957,1.2789017543859649,2.25043789979466,False
一,忄,structure,internal,False,34,26.3272764186377,1.2914362830152304,2.2361100411555346,False
丶,老,structure,entity,False,51,41.399350319764494,1.231903389934408,2.2264232064193044,False
口,目,boundary,perception,False,11,17.168866104963964,0.6406946115573476,2.2165068320947885,False
一,衣,structure,cloth,False,5,2.6037965688762563,1.9202729044834308,2.20516109129341,False
丶,而,structure,connection,False,40,50.507207390112676,0.7919661780356209,2.185854511537509,False
土,氵,structure,fluid,False,9,5.535478631611004,1.6258756647716854,2.168359614556172,False
火,艸,transformation,other,False,29,22.124657395188304,1.3107547602661163,2.1365454429056734,False
矢,示,perception,perception,True,6,3.3453456501877983,1.7935366408739188,2.1065654954313118,False
矢,行,perception,motion,False,5,2.672317531215105,1.8710351377018046,2.0274932197241275,False
人,臼,agent,other,False,10,6.428281392752005,1.5556257402289775,1.9845387950417792,False
一,宀,structure,constraint,False,16,22.662673840219266,0.706006718924972,1.9587813430188188,False
木,目,structure,perception,False,5,2.70475078672216,1.8485991480418098,1.947746526931209,False
見,辶,perception,motion,False,10,6.492589584813724,1.540217484775284,1.8947644325665645,False
丶,門,structure,boundary,False,11,7.301339965485737,1.5065727732167313,1.873640470869781,False
寸,月,action,temporal,False,7,4.2126687645924275,1.6616544976987395,1.8442502484836047,False
人,辶,agent,motion,False,43,52.8631611003959,0.8134208985031348,1.8402597360306987,False
口,方,boundary,direction,False,34,26.966805400466956,1.2608093355919443,1.8343228105930642,False
丶,方,structure,direction,False,29,22.581463810780633,1.284239154866262,1.8243993019022309,False
氵,言,fluid,communication,False,8,4.9944168104760935,1.6017886178861789,1.808725753565525,False
乙,大,connection,magnitude,False,9,5.774033093086996,1.5587025316455696,1.8023558778971231,False
艸,見,other,perception,False,5,2.7865191351131866,1.7943533697632057,1.758285983929215,False
牛,言,entity,communication,False,5,2.7895645112171352,1.7923944687045124,1.7515368547396974,False
糸,老,thread,entity,False,5,2.7915947619531014,1.791090909090909,1.7470493074076463,False
厂,火,constraint,transformation,False,7,4.277433763069739,1.63649524171156,1.7329004550506584,False
戶,月,boundary,temporal,False,7,4.285300984671607,1.6334908621445239,1.719737019683274,False
八,馬,structure,entity,False,5,2.8068216424728454,1.781374321880651,1.7136932518761003,False
丶,火,structure,transformation,False,123,109.36955639021419,1.1246274014420836,1.6987267675904587,False
人,見,agent,perception,False,9,13.839711704395492,0.650302563538343,1.6924347762405803,False
亻,火,agent,transformation,False,27,34.51446553649376,0.7822806924665149,1.63604423308966,False
言,訁,communication,communication,True,5,2.8626535377119073,1.746631205673759,1.5958095660807021,False
寸,氵,action,fluid,False,6,3.620952187595168,1.6570227081581161,1.5630884365438649,False
口,土,boundary,structure,False,30,23.910567455080702,1.2546753671304178,1.5508284689932366,False
人,訁,agent,communication,False,23,17.772307379961426,1.2941482221904899,1.5377164903426903,False
而,臼,connection,other,False,5,2.894883768145366,1.7271850618041553,1.5308090771661425,False
火,足,transformation,motion,False,6,9.882346969850776,0.6071432240038623,1.5252063138739498,False
大,足,magnitude,motion,False,5,8.596893716373971,0.5816054222558096,1.5049208276530195,False
方,目,direction,perception,False,5,2.90833417927114,1.719197207678883,1.504320217665555,False
丶,忄,structure,internal,False,15,20.549132067810376,0.7299578371729416,1.4984996254045007,False
大,牛,magnitude,entity,False,10,14.691706425743579,0.680656127356144,1.4982676993050186,False
忄,老,internal,entity,False,11,7.6210537001319665,1.4433699633699633,1.4981232972015632,False
人,巾,agent,cloth,False,10,14.671606943457517,0.6815885975230056,1.4874929186875732,False
戶,而,boundary,connection,False,9,6.028169728961527,1.4929904771527445,1.4650840233362268,False
八,囗,structure,boundary,False,6,9.783778296619632,0.6132600124507159,1.4633383713239276,False
老,食,entity,other,False,5,2.9311745000507563,1.7058008658008659,1.460178829055085,False
口,火,boundary,transformation,False,117,130.60922748959496,0.8958019448459019,1.418055036565483,False
女,火,other,transformation,False,15,11.062328697594152,1.3559532002752925,1.401626701723541,False
彳,而,other,connection,False,5,8.412191655669476,0.594375426126936,1.384068786304156,False
一,火,structure,transformation,False,154,140.12283016952594,1.0990357518020792,1.3743359470461298,False
人,而,agent,connection,False,59,50.74560958278347,1.1626621590534012,1.3426769669341456,False
心,氵,internal,fluid,False,5,2.996650086285656,1.668529810298103,1.3392991377761714,False
丶,口,structure,boundary,False,120,133.30590802964167,0.9001851588852087,1.3281270958667097,False
老,行,entity,motion,False,6,3.7686529286366865,1.5920808080808082,1.3211377771215354,False
彳,言,other,communication,False,5,3.0088315907014516,1.661774628879892,1.317704735100912,False
土,扌,structure,action,False,5,3.010760328900619,1.6607100711419807,1.314310684610522,False
丶,亻,structure,agent,False,42,35.22708354481779,1.1922644673824714,1.302191174881584,False
寸,辶,action,motion,False,9,6.173281900314689,1.4578955157614326,1.2943415421675823,False
口,忄,boundary,internal,False,19,24.539792914424932,0.7742526624514202,1.250593501001916,False
人,方,agent,direction,False,28,22.68805197441884,1.234129753914989,1.2436850840385276,False
八,訁,structure,communication,False,6,9.422901228301695,0.6367465661190412,1.2433806250159425,False
八,行,structure,motion,False,8,5.413156024769059,1.4778809188935773,1.2362033759176765,False
巾,老,cloth,entity,False,8,5.415693838189016,1.4771883786316777,1.2332008672424375,False
一,心,structure,internal,False,18,13.8869150340067,1.2961842105263157,1.218230823480384,False
口,見,boundary,perception,False,12,16.449751294284845,0.7294943118179041,1.2036830360996937,False
人,土,agent,structure,False,25,20.11673941731804,1.242746127062623,1.185392593883613,False
火,目,transformation,perception,False,10,14.086031874936555,0.7099231415053887,1.1852632899904425,False
八,老,structure,entity,False,17,22.0535986194295,0.7708492520138089,1.1580359036642527,False
口,大,boundary,magnitude,False,125,113.62014008730078,1.1001570663788605,1.1397733846583495,False
口,宀,boundary,constraint,False,26,21.123997563699117,1.2308276367480808,1.1255161191492171,False
人,食,agent,other,False,5,7.940818191046595,0.6296580377117289,1.0891083796052394,False
土,火,structure,transformation,False,15,19.617196223733632,0.7646352633131348,1.0867251734306547,False
丶,訁,structure,communication,False,22,17.68881331844483,1.243723906400195,1.0507392592491198,False
大,月,magnitude,temporal,False,25,30.60237539336108,0.8169300480322692,1.0256265941678095,False
大,宀,magnitude,constraint,False,19,15.076641965282713,1.260227578777269,1.0209659620508242,False
牛,辶,entity,motion,False,11,8.124606638919907,1.3539117016823783,1.017635357426069,False
大,矢,magnitude,perception,False,30,25.02081007004365,1.199001947419669,0.990868492633718,False
丶,行,structure,motion,False,7,10.161658714851285,0.68886391448765,0.9837061162648356,False
丶,矢,structure,perception,False,24,29.35590295401482,0.8175527776336947,0.977169617223493,False
而,辶,connection,motion,False,19,23.806161810983657,0.7981126966562835,0.9703030474530432,False
八,見,structure,perception,False,10,7.337833722464724,1.3628000276682577,0.9658339991473004,False
巾,氵,cloth,fluid,False,6,4.0371535884681755,1.4861956248428465,0.9543273375252544,False
巾,火,cloth,transformation,False,18,14.307278448888438,1.258100907471921,0.9530947833830136,False
忄,氵,internal,fluid,False,8,5.681149121916556,1.4081658179219156,0.9464756652918808,False
丶,足,structure,motion,False,7,10.08638716881535,0.6940046899689012,0.944419998597658,False
土,艸,structure,other,False,6,4.050350218251954,1.4813533834586465,0.9384705190038337,False
口,子,boundary,agent,False,9,12.4047304842148,0.7255296688188938,0.9344975035848445,False
丶,心,structure,internal,False,14,10.839102629174704,1.291619839664344,0.9217803844755191,False
月,行,temporal,motion,False,5,3.26844990356309,1.5297771566115381,0.9173356866207808,False
口,女,boundary,other,False,17,13.483402700233478,1.2608093355919443,0.9171614052965321,False
八,辶,structure,motion,False,23,28.02811897269313,0.8206044801796417,0.9020220168248895,False
囗,火,boundary,transformation,False,14,17.99472134808649,0.7780059345841842,0.8868044322650681,False
囗,土,boundary,structure,False,5,3.294284844178256,1.5177801060027116,0.8831853741918146,False
囗,而,boundary,connection,False,11,8.310019287381992,1.3237033055630205,0.8707556485752187,False
忄,月,internal,temporal,False,9,6.6095320272053595,1.3616697767641164,0.8645600180824077,False
口,寸,boundary,action,False,12,15.640747132270835,0.7672267762222785,0.8474684469381771,False
土,彳,structure,other,False,5,3.3347883463607757,1.499345529816444,0.8315159954429951,False
又,口,other,boundary,False,9,6.65181199878185,1.3530147877973966,0.8289450889584179,False
大,心,magnitude,internal,False,12,9.238452948939194,1.298918776371308,0.8254782653948899,False
子,月,agent,temporal,False,5,3.34108212364227,1.496521131467809,0.8236877809813151,False
人,目,agent,perception,False,11,14.444726423713329,0.7615235953476932,0.8214859725379534,False
口,行,boundary,motion,False,9,12.13506243021013,0.7416525503482025,0.8099353833439533,False
扌,火,action,transformation,False,20,16.445995330423308,1.2161015249105762,0.7680258286348315,False
木,言,structure,communication,False,5,3.398639732006903,1.4711768219832737,0.7545238419232708,False
一,見,structure,perception,False,14,17.647954522383515,0.7932930687374173,0.7540574847073569,False
氵,火,fluid,transformation,False,35,30.237031773424018,1.1575210246252496,0.750267635307757,False
一,門,structure,boundary,False,12,9.354380265962847,1.2828214867064567,0.7482381064403282,False
言,辶,communication,motion,False,6,8.51487158664095,0.7046494992846924,0.7427685823491048,False
丶,乙,structure,connection,False,9,6.774439143234189,1.328523263654754,0.7311485161269746,False
囗,氵,boundary,fluid,False,7,5.077657090650695,1.3785885645741704,0.7277770426698877,False
大,寸,magnitude,action,False,14,11.16313064663486,1.2541284737378147,0.7209292789642638,False
大,女,magnitude,other,False,7,9.623388488478327,0.7273945147679325,0.7151500918538543,False
乙,人,connection,agent,False,9,6.806415592325652,1.322281879194631,0.7069525050773302,False
月,矢,temporal,perception,False,12,9.442188610293371,1.2708917916465086,0.6928901100514747,False
方,老,direction,entity,False,6,8.374784285859304,0.7164363636363635,0.6734024676774858,False
一,老,structure,entity,False,59,53.04030047710892,1.1123617224880382,0.6696421039031817,False
戶,火,boundary,transformation,False,16,13.0535478631611,1.225720407028513,0.6650743756173085,False
心,月,internal,temporal,False,5,3.4863465638006295,1.434166084323317,0.6571769854172144,False
彳,老,other,entity,False,9,6.89523906202416,1.3052484357747516,0.6424749839969239,False
戶,矢,boundary,perception,False,5,3.503705207593138,1.4270606982471388,0.6390086988288323,False
亻,方,agent,direction,False,5,7.12618008324028,0.7016381766381766,0.6343709664311633,False
老,辶,entity,motion,False,16,19.51324738605218,0.8199557809858239,0.6325398818253603,False
土,辶,structure,motion,False,7,9.437316008527054,0.7417363150365183,0.6294702137826818,False
亻,見,agent,perception,False,6,4.346969850776571,1.380271822894774,0.6286007881452135,False
木,火,structure,transformation,False,17,20.575931377525123,0.8262080431784937,0.6214681115595158,False
火,而,transformation,connection,False,55,49.48548370723785,1.1114370494059773,0.6145214245666033,False
一,彳,structure,other,False,20,23.819916759719824,0.8396334966972087,0.6125866936639972,False
人,厂,agent,constraint,False,6,4.386356715054309,1.3678778060634111,0.5936235514347767,False
丶,示,structure,perception,False,10,12.720891280073088,0.7861084400323988,0.5819756803970761,False
八,而,structure,connection,False,23,26.90539031570399,0.8548472900828161,0.5668779876087604,False
八,寸,structure,action,False,5,6.976956654146787,0.7166448421358941,0.5601808648262574,False
矢,而,perception,connection,False,16,13.282407877372856,1.204600863617257,0.5560216952489683,False
月,老,temporal,entity,False,16,13.315907014516293,1.2015704211930627,0.5410337536052958,False
乙,口,connection,boundary,False,6,8.090041620140088,0.7416525503482024,0.5399569222293027,False
矢,見,perception,perception,True,5,3.6224748756471423,1.3802718228947737,0.5238339901210111,False
目,老,perception,entity,False,7,5.331945995330424,1.3128415040456924,0.5218365236502709,False
人,氵,agent,fluid,False,35,31.007004365039084,1.128777213946636,0.5142068531713458,False
人,戶,agent,boundary,False,16,13.385950664907115,1.1952830546392144,0.5104795391345458,False
而,見,connection,perception,False,8,6.232514465536494,1.283591084182323,0.5012431389950784,False
丶,車,structure,other,False,5,6.8497106892701245,0.7299578371729417,0.4994998751348331,False
八,足,structure,motion,False,7,5.373058572733733,1.3027961458530133,0.49263159370482634,False
一,訁,structure,communication,False,26,22.662673840219266,1.1472609182530795,0.4914577147993345,False
